Numer of labeled samples:36704   AUC:0.904
Numer of labeled samples:35653   AUC:0.910
Numer of labeled samples:35838   AUC:0.975
Numer of labeled samples:35898   AUC:0.976
Numer of labeled samples:36096   AUC:0.980
Numer of labeled samples:35915   AUC:0.980
Numer of labeled samples:35621   AUC:0.980
Numer of labeled samples:36110   AUC:0.982
Numer of labeled samples:35858   AUC:0.982
Numer of labeled samples:35913   AUC:0.982
Numer of labeled samples:35866   AUC:0.983
Numer of labeled samples:36059   AUC:0.983
Numer of labeled samples:35818   AUC:0.983
Numer of labeled samples:35459   AUC:0.982
Numer of labeled samples:35514   AUC:0.982
Numer of labeled samples:35715   AUC:0.983
Numer of labeled samples:35136   AUC:0.981
Numer of labeled samples:35685   AUC:0.983
Numer of labeled samples:35673   AUC:0.983
Numer of labeled samples:35002   AUC:0.982
Numer of labeled samples:35571   AUC:0.982
Numer of labeled samples:35868   AUC:0.984
Numer of labeled samples:35762   AUC:0.983
Numer of labeled samples:35169   AUC:0.983
Numer of labeled samples:34655   AUC:0.983
Numer of labeled samples:34891   AUC:0.984
Numer of labeled samples:34408   AUC:0.983
Numer of labeled samples:34314   AUC:0.983
Numer of labeled samples:34430   AUC:0.983
Numer of labeled samples:34571   AUC:0.984
Numer of labeled samples:34608   AUC:0.983
Numer of labeled samples:34341   AUC:0.983
Numer of labeled samples:34722   AUC:0.982
Numer of labeled samples:34305   AUC:0.983
Numer of labeled samples:34300   AUC:0.983
Numer of labeled samples:34201   AUC:0.982
Numer of labeled samples:33806   AUC:0.983
Numer of labeled samples:33663   AUC:0.983
Numer of labeled samples:33606   AUC:0.983
Numer of labeled samples:33732   AUC:0.984
Numer of labeled samples:33612   AUC:0.982
Numer of labeled samples:33479   AUC:0.984
Numer of labeled samples:33487   AUC:0.984
Numer of labeled samples:32894   AUC:0.982
Numer of labeled samples:33157   AUC:0.982
Numer of labeled samples:33782   AUC:0.984
Numer of labeled samples:33497   AUC:0.983
Numer of labeled samples:32891   AUC:0.984
Numer of labeled samples:32708   AUC:0.984
Numer of labeled samples:32872   AUC:0.984
Numer of labeled samples:33050   AUC:0.984
Numer of labeled samples:32907   AUC:0.984
Numer of labeled samples:32659   AUC:0.983
Numer of labeled samples:32633   AUC:0.981
Numer of labeled samples:32382   AUC:0.982
Numer of labeled samples:32504   AUC:0.983
Numer of labeled samples:32633   AUC:0.983
Numer of labeled samples:32653   AUC:0.983
Numer of labeled samples:32701   AUC:0.983
Numer of labeled samples:32587   AUC:0.982
Numer of labeled samples:32509   AUC:0.982
Numer of labeled samples:32553   AUC:0.982
Numer of labeled samples:32753   AUC:0.982
Numer of labeled samples:32419   AUC:0.982
Numer of labeled samples:32577   AUC:0.982
Numer of labeled samples:32633   AUC:0.982
Numer of labeled samples:31985   AUC:0.984
Numer of labeled samples:32005   AUC:0.983
Numer of labeled samples:32132   AUC:0.981
Numer of labeled samples:32197   AUC:0.982
Numer of labeled samples:32000   AUC:0.983
Numer of labeled samples:32110   AUC:0.982
Numer of labeled samples:31901   AUC:0.982
Numer of labeled samples:31702   AUC:0.982
Numer of labeled samples:32197   AUC:0.982
Numer of labeled samples:31851   AUC:0.982
