Epoch:0   Accuracy:4.38
Epoch:150   Accuracy:73.70
Epoch:151   Accuracy:74.07
Epoch:152   Accuracy:73.57
Epoch:153   Accuracy:73.37
Epoch:154   Accuracy:73.40
Epoch:155   Accuracy:73.57
Epoch:156   Accuracy:73.53
Epoch:157   Accuracy:73.39
Epoch:158   Accuracy:73.46
Epoch:159   Accuracy:73.45
Epoch:160   Accuracy:74.09
Epoch:161   Accuracy:74.01
Epoch:162   Accuracy:74.02
Epoch:163   Accuracy:74.11
Epoch:164   Accuracy:74.35
Epoch:165   Accuracy:74.38
Epoch:166   Accuracy:74.52
Epoch:167   Accuracy:74.60
Epoch:168   Accuracy:74.57
Epoch:169   Accuracy:74.43
Epoch:170   Accuracy:74.43
Epoch:171   Accuracy:74.46
Epoch:172   Accuracy:74.40
Epoch:173   Accuracy:74.37
Epoch:174   Accuracy:74.59
Epoch:175   Accuracy:74.75
Epoch:176   Accuracy:74.63
Epoch:177   Accuracy:74.70
Epoch:178   Accuracy:74.72
Epoch:179   Accuracy:74.55
Epoch:180   Accuracy:74.68
Epoch:181   Accuracy:74.80
Epoch:182   Accuracy:74.84
Epoch:183   Accuracy:74.68
Epoch:184   Accuracy:74.52
Epoch:185   Accuracy:74.61
Epoch:186   Accuracy:74.34
Epoch:187   Accuracy:74.55
Epoch:188   Accuracy:74.73
Epoch:189   Accuracy:74.62
Epoch:190   Accuracy:74.48
Epoch:191   Accuracy:74.87
Epoch:192   Accuracy:74.77
Epoch:193   Accuracy:74.72
Epoch:194   Accuracy:74.63
Epoch:195   Accuracy:74.70
Epoch:196   Accuracy:74.68
Epoch:197   Accuracy:74.58
Epoch:198   Accuracy:74.70
Epoch:199   Accuracy:74.68
Epoch:200   Accuracy:74.89

Best:74.89  avgLast10: 74.72

Best:74.89  avgLast10: 74.72
