Epoch:0   Accuracy:4.38
Epoch:1   Accuracy:6.43
Epoch:2   Accuracy:9.70
Epoch:3   Accuracy:13.74
Epoch:4   Accuracy:19.02
Epoch:5   Accuracy:24.94
Epoch:6   Accuracy:28.85
Epoch:7   Accuracy:36.96
Epoch:8   Accuracy:42.48
Epoch:9   Accuracy:46.28
Epoch:10   Accuracy:48.94
Epoch:11   Accuracy:51.01
Epoch:12   Accuracy:54.29
Epoch:13   Accuracy:54.52
Epoch:14   Accuracy:57.25
Epoch:15   Accuracy:56.78
Epoch:16   Accuracy:56.76
Epoch:17   Accuracy:60.83
Epoch:18   Accuracy:62.31
Epoch:19   Accuracy:61.70
Epoch:20   Accuracy:62.78
Epoch:21   Accuracy:62.45
Epoch:22   Accuracy:62.15
Epoch:23   Accuracy:63.63
Epoch:24   Accuracy:63.78
Epoch:25   Accuracy:64.09
Epoch:26   Accuracy:64.20
Epoch:27   Accuracy:64.41
Epoch:28   Accuracy:63.64
Epoch:29   Accuracy:63.38
Epoch:30   Accuracy:66.24
Epoch:31   Accuracy:66.36
Epoch:32   Accuracy:66.07
Epoch:33   Accuracy:66.80
Epoch:34   Accuracy:66.09
Epoch:35   Accuracy:65.69
Epoch:36   Accuracy:66.01
Epoch:37   Accuracy:65.93
Epoch:38   Accuracy:65.41
Epoch:39   Accuracy:65.69
Epoch:40   Accuracy:66.25
Epoch:41   Accuracy:66.40
Epoch:42   Accuracy:66.56
Epoch:43   Accuracy:65.60
Epoch:44   Accuracy:66.07
Epoch:45   Accuracy:65.73
Epoch:46   Accuracy:66.21
Epoch:47   Accuracy:65.44
Epoch:48   Accuracy:66.10
Epoch:49   Accuracy:66.03
Epoch:50   Accuracy:66.17
Epoch:51   Accuracy:66.45
Epoch:52   Accuracy:66.43
Epoch:53   Accuracy:66.08
Epoch:54   Accuracy:66.05
Epoch:55   Accuracy:65.64
Epoch:56   Accuracy:66.56
Epoch:57   Accuracy:66.75
Epoch:58   Accuracy:66.94
Epoch:59   Accuracy:66.92
Epoch:60   Accuracy:66.99
Epoch:61   Accuracy:67.07
Epoch:62   Accuracy:67.17
Epoch:63   Accuracy:67.14
Epoch:64   Accuracy:67.80
Epoch:65   Accuracy:66.70
Epoch:66   Accuracy:66.85
Epoch:67   Accuracy:67.24
Epoch:68   Accuracy:67.33
Epoch:69   Accuracy:67.18
Epoch:70   Accuracy:66.68
Epoch:71   Accuracy:67.85
Epoch:72   Accuracy:67.76
Epoch:73   Accuracy:67.60
Epoch:74   Accuracy:67.05
Epoch:75   Accuracy:67.67
Epoch:76   Accuracy:67.55
Epoch:77   Accuracy:67.62
Epoch:78   Accuracy:67.76
Epoch:79   Accuracy:67.57
Epoch:80   Accuracy:70.32
Epoch:81   Accuracy:70.82
Epoch:82   Accuracy:71.07
Epoch:83   Accuracy:71.71
Epoch:84   Accuracy:71.43
Epoch:85   Accuracy:71.54
Epoch:86   Accuracy:71.54
Epoch:87   Accuracy:71.74
Epoch:88   Accuracy:71.96
Epoch:89   Accuracy:72.19
Epoch:90   Accuracy:71.99
Epoch:91   Accuracy:72.30
Epoch:92   Accuracy:72.31
Epoch:93   Accuracy:72.10
Epoch:94   Accuracy:72.05
Epoch:95   Accuracy:72.35
Epoch:96   Accuracy:72.16
Epoch:97   Accuracy:72.17
Epoch:98   Accuracy:72.20
Epoch:99   Accuracy:72.67
Epoch:100   Accuracy:72.56
Epoch:101   Accuracy:72.51
Epoch:102   Accuracy:72.75
Epoch:103   Accuracy:72.82
Epoch:104   Accuracy:72.82
Epoch:105   Accuracy:72.67
Epoch:106   Accuracy:72.78
Epoch:107   Accuracy:72.93
Epoch:108   Accuracy:73.04
Epoch:109   Accuracy:72.84
Epoch:110   Accuracy:73.00
Epoch:111   Accuracy:72.96
Epoch:112   Accuracy:72.93
Epoch:113   Accuracy:72.91
Epoch:114   Accuracy:73.45
Epoch:115   Accuracy:73.30
Epoch:116   Accuracy:73.28
Epoch:117   Accuracy:73.47
Epoch:118   Accuracy:72.92
Epoch:119   Accuracy:73.24
Epoch:120   Accuracy:73.08
Epoch:121   Accuracy:73.28
Epoch:122   Accuracy:73.17
Epoch:123   Accuracy:73.30
Epoch:124   Accuracy:73.09
Epoch:125   Accuracy:73.14
Epoch:126   Accuracy:73.22
Epoch:127   Accuracy:72.87
Epoch:128   Accuracy:73.64
Epoch:129   Accuracy:73.27
Epoch:130   Accuracy:73.54
Epoch:131   Accuracy:72.94
Epoch:132   Accuracy:73.36
Epoch:133   Accuracy:73.12
Epoch:134   Accuracy:73.32
Epoch:135   Accuracy:73.13
Epoch:136   Accuracy:73.26
Epoch:137   Accuracy:73.18
Epoch:138   Accuracy:73.17
Epoch:139   Accuracy:73.51
Epoch:140   Accuracy:73.16
Epoch:141   Accuracy:73.39
Epoch:142   Accuracy:73.30
Epoch:143   Accuracy:73.44
Epoch:144   Accuracy:73.20
Epoch:145   Accuracy:73.23
Epoch:146   Accuracy:73.50
Epoch:147   Accuracy:73.74
Epoch:148   Accuracy:73.42
Epoch:149   Accuracy:73.76
