Numer of labeled samples:10999   AUC:0.946
Numer of labeled samples:10993   AUC:0.945
Numer of labeled samples:11005   AUC:0.947
Numer of labeled samples:10996   AUC:0.947
Numer of labeled samples:10998   AUC:0.947
Numer of labeled samples:10994   AUC:0.947
Numer of labeled samples:10999   AUC:0.946
Numer of labeled samples:11000   AUC:0.947
Numer of labeled samples:11003   AUC:0.946
Numer of labeled samples:11001   AUC:0.947
Numer of labeled samples:11006   AUC:0.946
Numer of labeled samples:10997   AUC:0.946
Numer of labeled samples:11005   AUC:0.946
Numer of labeled samples:11003   AUC:0.946
Numer of labeled samples:11006   AUC:0.947
Numer of labeled samples:11001   AUC:0.947
Numer of labeled samples:11002   AUC:0.947
Numer of labeled samples:11007   AUC:0.947
Numer of labeled samples:11009   AUC:0.946
Numer of labeled samples:11008   AUC:0.946
Numer of labeled samples:11007   AUC:0.945
Numer of labeled samples:11006   AUC:0.947
Numer of labeled samples:11005   AUC:0.945
Numer of labeled samples:11004   AUC:0.947
Numer of labeled samples:11013   AUC:0.946
Numer of labeled samples:11020   AUC:0.945
Numer of labeled samples:11012   AUC:0.946
Numer of labeled samples:11014   AUC:0.946
Numer of labeled samples:11012   AUC:0.947
Numer of labeled samples:11012   AUC:0.947
Numer of labeled samples:11016   AUC:0.947
Numer of labeled samples:11020   AUC:0.946
Numer of labeled samples:11013   AUC:0.947
Numer of labeled samples:11017   AUC:0.946
Numer of labeled samples:11015   AUC:0.946
Numer of labeled samples:11015   AUC:0.946
Numer of labeled samples:11012   AUC:0.946
Numer of labeled samples:11019   AUC:0.947
Numer of labeled samples:11020   AUC:0.946
Numer of labeled samples:11022   AUC:0.946
Numer of labeled samples:11023   AUC:0.946
Numer of labeled samples:11021   AUC:0.946
Numer of labeled samples:11020   AUC:0.945
Numer of labeled samples:11023   AUC:0.947
Numer of labeled samples:11032   AUC:0.946
Numer of labeled samples:11031   AUC:0.946
Numer of labeled samples:11029   AUC:0.946
Numer of labeled samples:11028   AUC:0.947
Numer of labeled samples:11025   AUC:0.945
Numer of labeled samples:11026   AUC:0.945
Numer of labeled samples:11033   AUC:0.946
Numer of labeled samples:11026   AUC:0.945
Numer of labeled samples:11030   AUC:0.946
Numer of labeled samples:11029   AUC:0.946
Numer of labeled samples:11031   AUC:0.944
Numer of labeled samples:11026   AUC:0.945
Numer of labeled samples:11030   AUC:0.946
Numer of labeled samples:11029   AUC:0.945
Numer of labeled samples:11035   AUC:0.944
Numer of labeled samples:11030   AUC:0.945
Numer of labeled samples:11035   AUC:0.946
Numer of labeled samples:11034   AUC:0.945
Numer of labeled samples:11042   AUC:0.945
Numer of labeled samples:11031   AUC:0.946
Numer of labeled samples:11040   AUC:0.946
Numer of labeled samples:11036   AUC:0.945
Numer of labeled samples:11043   AUC:0.945
Numer of labeled samples:11041   AUC:0.947
Numer of labeled samples:11047   AUC:0.947
Numer of labeled samples:11042   AUC:0.946
Numer of labeled samples:11043   AUC:0.945
Numer of labeled samples:11043   AUC:0.946
Numer of labeled samples:11043   AUC:0.946
Numer of labeled samples:11047   AUC:0.946
Numer of labeled samples:11044   AUC:0.945
Numer of labeled samples:11037   AUC:0.946
Numer of labeled samples:11044   AUC:0.946
Numer of labeled samples:11047   AUC:0.947
Numer of labeled samples:11047   AUC:0.947
Numer of labeled samples:11048   AUC:0.945
Numer of labeled samples:11052   AUC:0.945
Numer of labeled samples:11052   AUC:0.945
Numer of labeled samples:11055   AUC:0.946
Numer of labeled samples:11051   AUC:0.946
Numer of labeled samples:11051   AUC:0.944
Numer of labeled samples:11055   AUC:0.945
Numer of labeled samples:11048   AUC:0.944
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11058   AUC:0.945
Numer of labeled samples:11053   AUC:0.945
Numer of labeled samples:11057   AUC:0.944
Numer of labeled samples:11050   AUC:0.945
Numer of labeled samples:11055   AUC:0.945
Numer of labeled samples:11055   AUC:0.945
Numer of labeled samples:11056   AUC:0.945
Numer of labeled samples:11054   AUC:0.944
Numer of labeled samples:11056   AUC:0.945
Numer of labeled samples:11058   AUC:0.946
Numer of labeled samples:11059   AUC:0.946
Numer of labeled samples:11059   AUC:0.945
Numer of labeled samples:11059   AUC:0.945
Numer of labeled samples:11051   AUC:0.945
Numer of labeled samples:11055   AUC:0.944
Numer of labeled samples:11059   AUC:0.945
Numer of labeled samples:11061   AUC:0.945
Numer of labeled samples:11059   AUC:0.946
Numer of labeled samples:11059   AUC:0.944
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11065   AUC:0.947
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11059   AUC:0.946
Numer of labeled samples:11058   AUC:0.945
Numer of labeled samples:11059   AUC:0.945
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11060   AUC:0.946
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11063   AUC:0.945
Numer of labeled samples:11060   AUC:0.944
Numer of labeled samples:11060   AUC:0.946
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11062   AUC:0.945
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11061   AUC:0.945
Numer of labeled samples:11060   AUC:0.944
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11060   AUC:0.945
Numer of labeled samples:11059   AUC:0.945
Numer of labeled samples:11061   AUC:0.945
Numer of labeled samples:11062   AUC:0.945
Numer of labeled samples:11060   AUC:0.944
Numer of labeled samples:11061   AUC:0.944
Numer of labeled samples:11062   AUC:0.944
Numer of labeled samples:11061   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11062   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11063   AUC:0.945
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11064   AUC:0.943
Numer of labeled samples:11062   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11062   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11066   AUC:0.945
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11066   AUC:0.944
Numer of labeled samples:11064   AUC:0.945
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11066   AUC:0.945
Numer of labeled samples:11064   AUC:0.943
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11066   AUC:0.944
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11064   AUC:0.945
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11064   AUC:0.945
Numer of labeled samples:11065   AUC:0.944
Numer of labeled samples:11063   AUC:0.944
Numer of labeled samples:11065   AUC:0.945
Numer of labeled samples:11064   AUC:0.944
Numer of labeled samples:11066   AUC:0.944
Numer of labeled samples:11064   AUC:0.944
