Numer of labeled samples:38037   AUC:0.973
Numer of labeled samples:37119   AUC:0.969
Numer of labeled samples:39014   AUC:0.983
Numer of labeled samples:38272   AUC:0.981
Numer of labeled samples:38767   AUC:0.984
Numer of labeled samples:38968   AUC:0.985
Numer of labeled samples:38777   AUC:0.985
Numer of labeled samples:38760   AUC:0.985
Numer of labeled samples:38580   AUC:0.985
Numer of labeled samples:38472   AUC:0.986
Numer of labeled samples:38156   AUC:0.985
Numer of labeled samples:38222   AUC:0.984
Numer of labeled samples:38122   AUC:0.985
Numer of labeled samples:38229   AUC:0.985
Numer of labeled samples:38218   AUC:0.985
Numer of labeled samples:38183   AUC:0.986
Numer of labeled samples:38095   AUC:0.985
Numer of labeled samples:37716   AUC:0.985
Numer of labeled samples:37764   AUC:0.984
Numer of labeled samples:37924   AUC:0.985
Numer of labeled samples:37589   AUC:0.986
Numer of labeled samples:37739   AUC:0.986
Numer of labeled samples:37678   AUC:0.985
Numer of labeled samples:37993   AUC:0.985
Numer of labeled samples:37805   AUC:0.986
Numer of labeled samples:37558   AUC:0.985
Numer of labeled samples:37445   AUC:0.985
Numer of labeled samples:37585   AUC:0.985
Numer of labeled samples:37476   AUC:0.985
Numer of labeled samples:37453   AUC:0.985
Numer of labeled samples:37870   AUC:0.985
Numer of labeled samples:37376   AUC:0.985
Numer of labeled samples:37761   AUC:0.986
Numer of labeled samples:37397   AUC:0.985
Numer of labeled samples:37414   AUC:0.985
Numer of labeled samples:37586   AUC:0.986
Numer of labeled samples:37463   AUC:0.986
Numer of labeled samples:37453   AUC:0.985
Numer of labeled samples:37566   AUC:0.986
Numer of labeled samples:37334   AUC:0.986
Numer of labeled samples:37482   AUC:0.986
Numer of labeled samples:37231   AUC:0.985
Numer of labeled samples:37496   AUC:0.987
Numer of labeled samples:37464   AUC:0.985
Numer of labeled samples:37197   AUC:0.986
Numer of labeled samples:37667   AUC:0.986
Numer of labeled samples:37450   AUC:0.986
Numer of labeled samples:37508   AUC:0.986
Numer of labeled samples:37826   AUC:0.986
Numer of labeled samples:37473   AUC:0.987
Numer of labeled samples:37746   AUC:0.987
Numer of labeled samples:37702   AUC:0.986
Numer of labeled samples:37409   AUC:0.987
Numer of labeled samples:37530   AUC:0.987
Numer of labeled samples:37471   AUC:0.985
Numer of labeled samples:37399   AUC:0.986
Numer of labeled samples:37702   AUC:0.987
Numer of labeled samples:37417   AUC:0.986
Numer of labeled samples:37496   AUC:0.985
Numer of labeled samples:37496   AUC:0.985
Numer of labeled samples:37642   AUC:0.986
Numer of labeled samples:37565   AUC:0.986
Numer of labeled samples:37503   AUC:0.987
Numer of labeled samples:37736   AUC:0.987
Numer of labeled samples:37685   AUC:0.987
Numer of labeled samples:37785   AUC:0.987
Numer of labeled samples:37347   AUC:0.986
Numer of labeled samples:37606   AUC:0.987
Numer of labeled samples:37428   AUC:0.987
Numer of labeled samples:37491   AUC:0.987
Numer of labeled samples:37795   AUC:0.987
Numer of labeled samples:37428   AUC:0.986
Numer of labeled samples:37749   AUC:0.987
Numer of labeled samples:37512   AUC:0.986
Numer of labeled samples:37555   AUC:0.987
Numer of labeled samples:37496   AUC:0.986
Numer of labeled samples:37391   AUC:0.986
Numer of labeled samples:37433   AUC:0.986
Numer of labeled samples:37437   AUC:0.987
Numer of labeled samples:37670   AUC:0.987
Numer of labeled samples:37507   AUC:0.986
Numer of labeled samples:37582   AUC:0.987
Numer of labeled samples:37811   AUC:0.987
Numer of labeled samples:37735   AUC:0.988
Numer of labeled samples:37829   AUC:0.988
Numer of labeled samples:37759   AUC:0.988
Numer of labeled samples:37801   AUC:0.987
Numer of labeled samples:37690   AUC:0.987
Numer of labeled samples:37634   AUC:0.987
Numer of labeled samples:37652   AUC:0.987
Numer of labeled samples:37647   AUC:0.987
Numer of labeled samples:37638   AUC:0.988
Numer of labeled samples:37791   AUC:0.987
Numer of labeled samples:37784   AUC:0.987
Numer of labeled samples:37277   AUC:0.987
Numer of labeled samples:37376   AUC:0.986
Numer of labeled samples:37637   AUC:0.988
Numer of labeled samples:37570   AUC:0.988
Numer of labeled samples:37587   AUC:0.987
Numer of labeled samples:37531   AUC:0.987
Numer of labeled samples:37599   AUC:0.988
Numer of labeled samples:37656   AUC:0.987
Numer of labeled samples:37706   AUC:0.988
Numer of labeled samples:37959   AUC:0.990
Numer of labeled samples:38135   AUC:0.990
Numer of labeled samples:38127   AUC:0.991
Numer of labeled samples:38085   AUC:0.990
Numer of labeled samples:38180   AUC:0.990
Numer of labeled samples:38178   AUC:0.990
Numer of labeled samples:38181   AUC:0.991
Numer of labeled samples:38122   AUC:0.990
Numer of labeled samples:38214   AUC:0.991
Numer of labeled samples:38254   AUC:0.990
Numer of labeled samples:38222   AUC:0.991
Numer of labeled samples:38215   AUC:0.991
Numer of labeled samples:38337   AUC:0.991
Numer of labeled samples:38253   AUC:0.991
Numer of labeled samples:38296   AUC:0.991
Numer of labeled samples:38318   AUC:0.991
Numer of labeled samples:38265   AUC:0.991
Numer of labeled samples:38267   AUC:0.990
Numer of labeled samples:38267   AUC:0.991
Numer of labeled samples:38363   AUC:0.990
Numer of labeled samples:38334   AUC:0.991
Numer of labeled samples:38336   AUC:0.990
Numer of labeled samples:38285   AUC:0.991
Numer of labeled samples:38289   AUC:0.990
Numer of labeled samples:38236   AUC:0.991
Numer of labeled samples:38323   AUC:0.990
Numer of labeled samples:38338   AUC:0.991
Numer of labeled samples:38320   AUC:0.991
Numer of labeled samples:38340   AUC:0.991
Numer of labeled samples:38330   AUC:0.991
Numer of labeled samples:38327   AUC:0.991
Numer of labeled samples:38365   AUC:0.991
Numer of labeled samples:38340   AUC:0.991
Numer of labeled samples:38428   AUC:0.990
Numer of labeled samples:38413   AUC:0.991
Numer of labeled samples:38398   AUC:0.991
Numer of labeled samples:38342   AUC:0.991
Numer of labeled samples:38396   AUC:0.991
Numer of labeled samples:38385   AUC:0.991
Numer of labeled samples:38367   AUC:0.990
Numer of labeled samples:38436   AUC:0.991
Numer of labeled samples:38406   AUC:0.990
Numer of labeled samples:38403   AUC:0.991
Numer of labeled samples:38470   AUC:0.991
Numer of labeled samples:38412   AUC:0.991
Numer of labeled samples:38439   AUC:0.991
Numer of labeled samples:38437   AUC:0.991
Numer of labeled samples:38380   AUC:0.990
Numer of labeled samples:38403   AUC:0.991
Numer of labeled samples:38404   AUC:0.991
Numer of labeled samples:38391   AUC:0.991
Numer of labeled samples:38492   AUC:0.991
Numer of labeled samples:38464   AUC:0.990
Numer of labeled samples:38430   AUC:0.990
Numer of labeled samples:38471   AUC:0.991
Numer of labeled samples:38493   AUC:0.990
Numer of labeled samples:38441   AUC:0.991
Numer of labeled samples:38449   AUC:0.991
Numer of labeled samples:38457   AUC:0.991
Numer of labeled samples:38476   AUC:0.991
Numer of labeled samples:38453   AUC:0.991
Numer of labeled samples:38521   AUC:0.991
Numer of labeled samples:38493   AUC:0.991
Numer of labeled samples:38446   AUC:0.991
Numer of labeled samples:38465   AUC:0.991
Numer of labeled samples:38484   AUC:0.990
Numer of labeled samples:38498   AUC:0.991
Numer of labeled samples:38517   AUC:0.991
Numer of labeled samples:38491   AUC:0.991
Numer of labeled samples:38507   AUC:0.990
Numer of labeled samples:38503   AUC:0.991
Numer of labeled samples:38515   AUC:0.990
Numer of labeled samples:38518   AUC:0.991
Numer of labeled samples:38503   AUC:0.990
Numer of labeled samples:38484   AUC:0.990
Numer of labeled samples:38536   AUC:0.990
Numer of labeled samples:38551   AUC:0.991
Numer of labeled samples:38516   AUC:0.990
Numer of labeled samples:38551   AUC:0.990
Numer of labeled samples:38540   AUC:0.990
Numer of labeled samples:38522   AUC:0.991
Numer of labeled samples:38507   AUC:0.990
Numer of labeled samples:38528   AUC:0.990
Numer of labeled samples:38524   AUC:0.990
Numer of labeled samples:38570   AUC:0.990
Numer of labeled samples:38528   AUC:0.990
Numer of labeled samples:38545   AUC:0.990
Numer of labeled samples:38550   AUC:0.990
Numer of labeled samples:38529   AUC:0.990
Numer of labeled samples:38594   AUC:0.990
Numer of labeled samples:38552   AUC:0.990
Numer of labeled samples:38572   AUC:0.990
Numer of labeled samples:38530   AUC:0.990
Numer of labeled samples:38536   AUC:0.990
Numer of labeled samples:38587   AUC:0.991
Numer of labeled samples:38562   AUC:0.990
Numer of labeled samples:38561   AUC:0.991
Numer of labeled samples:38617   AUC:0.990
Numer of labeled samples:38610   AUC:0.990
Numer of labeled samples:38566   AUC:0.990
Numer of labeled samples:38603   AUC:0.990
Numer of labeled samples:38558   AUC:0.990
Numer of labeled samples:38623   AUC:0.990
Numer of labeled samples:38569   AUC:0.990
Numer of labeled samples:38614   AUC:0.990
Numer of labeled samples:38569   AUC:0.990
Numer of labeled samples:38591   AUC:0.990
Numer of labeled samples:38561   AUC:0.990
Numer of labeled samples:38615   AUC:0.990
Numer of labeled samples:38580   AUC:0.991
Numer of labeled samples:38598   AUC:0.990
Numer of labeled samples:38604   AUC:0.990
Numer of labeled samples:38613   AUC:0.991
Numer of labeled samples:38573   AUC:0.990
Numer of labeled samples:38586   AUC:0.991
Numer of labeled samples:38541   AUC:0.990
Numer of labeled samples:38612   AUC:0.990
Numer of labeled samples:38616   AUC:0.991
Numer of labeled samples:38598   AUC:0.990
Numer of labeled samples:38535   AUC:0.990
Numer of labeled samples:38595   AUC:0.990
Numer of labeled samples:38588   AUC:0.990
Numer of labeled samples:38645   AUC:0.990
Numer of labeled samples:38581   AUC:0.990
Numer of labeled samples:38619   AUC:0.990
Numer of labeled samples:38535   AUC:0.990
Numer of labeled samples:38624   AUC:0.990
Numer of labeled samples:38648   AUC:0.990
Numer of labeled samples:38620   AUC:0.990
Numer of labeled samples:38613   AUC:0.990
Numer of labeled samples:38595   AUC:0.990
Numer of labeled samples:38586   AUC:0.989
