Epoch:0   Accuracy:6.19
Epoch:1   Accuracy:7.94
Epoch:2   Accuracy:9.36
Epoch:3   Accuracy:10.48
Epoch:4   Accuracy:10.98
Epoch:5   Accuracy:11.67
Epoch:6   Accuracy:13.42
Epoch:7   Accuracy:14.09
Epoch:8   Accuracy:14.95
Epoch:9   Accuracy:15.30
Epoch:10   Accuracy:16.19
Epoch:11   Accuracy:16.58
Epoch:12   Accuracy:17.94
Epoch:13   Accuracy:18.56
Epoch:14   Accuracy:21.32
Epoch:15   Accuracy:20.49
Epoch:16   Accuracy:20.80
Epoch:17   Accuracy:22.76
Epoch:18   Accuracy:23.21
Epoch:19   Accuracy:24.08
Epoch:20   Accuracy:23.65
Epoch:21   Accuracy:25.45
Epoch:22   Accuracy:25.07
Epoch:23   Accuracy:25.92
Epoch:24   Accuracy:26.89
Epoch:25   Accuracy:26.92
Epoch:26   Accuracy:25.97
Epoch:27   Accuracy:27.38
Epoch:28   Accuracy:27.17
Epoch:29   Accuracy:27.46
Epoch:30   Accuracy:32.76
Epoch:31   Accuracy:35.18
Epoch:32   Accuracy:37.06
Epoch:33   Accuracy:38.87
Epoch:34   Accuracy:41.48
Epoch:35   Accuracy:40.97
Epoch:36   Accuracy:42.75
Epoch:37   Accuracy:43.84
Epoch:38   Accuracy:44.75
Epoch:39   Accuracy:44.95
Epoch:40   Accuracy:45.41
Epoch:41   Accuracy:46.46
Epoch:42   Accuracy:45.52
Epoch:43   Accuracy:46.74
Epoch:44   Accuracy:47.67
Epoch:45   Accuracy:47.79
Epoch:46   Accuracy:48.24
Epoch:47   Accuracy:48.42
Epoch:48   Accuracy:48.78
Epoch:49   Accuracy:48.65
Epoch:50   Accuracy:49.08
Epoch:51   Accuracy:48.71
Epoch:52   Accuracy:49.79
Epoch:53   Accuracy:49.98
Epoch:54   Accuracy:50.33
Epoch:55   Accuracy:49.76
Epoch:56   Accuracy:50.93
Epoch:57   Accuracy:50.42
Epoch:58   Accuracy:50.15
Epoch:59   Accuracy:50.20
Epoch:60   Accuracy:50.97
Epoch:61   Accuracy:50.27
Epoch:62   Accuracy:51.99
Epoch:63   Accuracy:50.88
Epoch:64   Accuracy:50.67
Epoch:65   Accuracy:51.83
Epoch:66   Accuracy:52.42
Epoch:67   Accuracy:51.12
Epoch:68   Accuracy:51.73
Epoch:69   Accuracy:51.61
Epoch:70   Accuracy:52.40
Epoch:71   Accuracy:51.91
Epoch:72   Accuracy:51.74
Epoch:73   Accuracy:52.07
Epoch:74   Accuracy:51.89
Epoch:75   Accuracy:51.60
Epoch:76   Accuracy:51.60
Epoch:77   Accuracy:51.92
Epoch:78   Accuracy:51.03
Epoch:79   Accuracy:52.67
Epoch:80   Accuracy:55.14
Epoch:81   Accuracy:54.92
Epoch:82   Accuracy:55.02
Epoch:83   Accuracy:54.74
Epoch:84   Accuracy:54.91
Epoch:85   Accuracy:54.45
Epoch:86   Accuracy:54.55
Epoch:87   Accuracy:54.51
Epoch:88   Accuracy:54.17
Epoch:89   Accuracy:54.14
Epoch:90   Accuracy:54.17
Epoch:91   Accuracy:53.68
Epoch:92   Accuracy:53.74
Epoch:93   Accuracy:53.45
Epoch:94   Accuracy:53.26
Epoch:95   Accuracy:53.78
Epoch:96   Accuracy:52.78
Epoch:97   Accuracy:53.27
Epoch:98   Accuracy:52.66
Epoch:99   Accuracy:53.26
Epoch:100   Accuracy:53.07

Best:55.14  avgLast10: 53.29

Best:55.14  avgLast10: 53.29

Best:55.14  avgLast10: 53.29
