Numer of labeled samples:13060   AUC:0.842
Numer of labeled samples:13520   AUC:0.826
Numer of labeled samples:13670   AUC:0.902
Numer of labeled samples:14308   AUC:0.904
Numer of labeled samples:15557   AUC:0.917
Numer of labeled samples:15636   AUC:0.917
Numer of labeled samples:16604   AUC:0.924
Numer of labeled samples:16448   AUC:0.923
Numer of labeled samples:17294   AUC:0.932
Numer of labeled samples:16727   AUC:0.929
Numer of labeled samples:17186   AUC:0.934
Numer of labeled samples:17561   AUC:0.935
Numer of labeled samples:17575   AUC:0.937
Numer of labeled samples:17358   AUC:0.935
Numer of labeled samples:17636   AUC:0.939
Numer of labeled samples:17982   AUC:0.937
Numer of labeled samples:18011   AUC:0.942
Numer of labeled samples:18367   AUC:0.940
Numer of labeled samples:18839   AUC:0.943
Numer of labeled samples:18795   AUC:0.942
Numer of labeled samples:18156   AUC:0.940
Numer of labeled samples:19112   AUC:0.943
Numer of labeled samples:19499   AUC:0.944
Numer of labeled samples:19134   AUC:0.942
Numer of labeled samples:19267   AUC:0.944
Numer of labeled samples:19292   AUC:0.945
Numer of labeled samples:19924   AUC:0.947
Numer of labeled samples:19230   AUC:0.944
Numer of labeled samples:20035   AUC:0.946
Numer of labeled samples:19670   AUC:0.946
Numer of labeled samples:19964   AUC:0.947
Numer of labeled samples:19881   AUC:0.946
Numer of labeled samples:19893   AUC:0.946
Numer of labeled samples:20001   AUC:0.947
Numer of labeled samples:20646   AUC:0.946
Numer of labeled samples:20598   AUC:0.945
Numer of labeled samples:20625   AUC:0.946
Numer of labeled samples:20180   AUC:0.946
Numer of labeled samples:20597   AUC:0.946
Numer of labeled samples:20336   AUC:0.944
Numer of labeled samples:20487   AUC:0.948
Numer of labeled samples:21069   AUC:0.944
Numer of labeled samples:20821   AUC:0.946
Numer of labeled samples:20683   AUC:0.946
Numer of labeled samples:20767   AUC:0.945
Numer of labeled samples:20642   AUC:0.947
Numer of labeled samples:20901   AUC:0.946
Numer of labeled samples:20980   AUC:0.944
Numer of labeled samples:21011   AUC:0.943
Numer of labeled samples:20812   AUC:0.946
Numer of labeled samples:20907   AUC:0.945
Numer of labeled samples:20834   AUC:0.945
Numer of labeled samples:21342   AUC:0.944
Numer of labeled samples:21131   AUC:0.945
Numer of labeled samples:21376   AUC:0.946
Numer of labeled samples:21376   AUC:0.946
Numer of labeled samples:21282   AUC:0.943
Numer of labeled samples:21539   AUC:0.946
Numer of labeled samples:21853   AUC:0.940
Numer of labeled samples:21870   AUC:0.939
Numer of labeled samples:21482   AUC:0.942
Numer of labeled samples:21595   AUC:0.940
Numer of labeled samples:21500   AUC:0.944
Numer of labeled samples:21426   AUC:0.944
Numer of labeled samples:21872   AUC:0.936
Numer of labeled samples:21463   AUC:0.942
Numer of labeled samples:21482   AUC:0.939
Numer of labeled samples:21799   AUC:0.942
Numer of labeled samples:21721   AUC:0.940
Numer of labeled samples:21822   AUC:0.939
Numer of labeled samples:22201   AUC:0.936
Numer of labeled samples:21857   AUC:0.938
Numer of labeled samples:22036   AUC:0.940
Numer of labeled samples:22082   AUC:0.938
Numer of labeled samples:22370   AUC:0.940
Numer of labeled samples:22200   AUC:0.939
Numer of labeled samples:22325   AUC:0.937
Numer of labeled samples:21916   AUC:0.935
Numer of labeled samples:21945   AUC:0.934
Numer of labeled samples:21978   AUC:0.936
Numer of labeled samples:21921   AUC:0.935
Numer of labeled samples:22204   AUC:0.936
Numer of labeled samples:22305   AUC:0.938
Numer of labeled samples:22114   AUC:0.934
Numer of labeled samples:22421   AUC:0.929
Numer of labeled samples:22311   AUC:0.936
Numer of labeled samples:22560   AUC:0.931
Numer of labeled samples:22103   AUC:0.932
Numer of labeled samples:22076   AUC:0.933
Numer of labeled samples:22386   AUC:0.933
Numer of labeled samples:22331   AUC:0.928
Numer of labeled samples:22026   AUC:0.931
Numer of labeled samples:22484   AUC:0.928
Numer of labeled samples:22470   AUC:0.926
Numer of labeled samples:22457   AUC:0.928
Numer of labeled samples:22473   AUC:0.926
Numer of labeled samples:22272   AUC:0.927
Numer of labeled samples:23081   AUC:0.923
Numer of labeled samples:22400   AUC:0.926
Numer of labeled samples:22880   AUC:0.921
Numer of labeled samples:22568   AUC:0.928
Numer of labeled samples:22622   AUC:0.926
Numer of labeled samples:22719   AUC:0.909
Numer of labeled samples:22615   AUC:0.908
Numer of labeled samples:22795   AUC:0.903
Numer of labeled samples:22787   AUC:0.901
Numer of labeled samples:22702   AUC:0.901
Numer of labeled samples:22824   AUC:0.895
Numer of labeled samples:22771   AUC:0.896
Numer of labeled samples:23011   AUC:0.893
Numer of labeled samples:22906   AUC:0.893
Numer of labeled samples:22843   AUC:0.892
Numer of labeled samples:22886   AUC:0.888
Numer of labeled samples:22949   AUC:0.889
Numer of labeled samples:22871   AUC:0.885
Numer of labeled samples:22965   AUC:0.886
Numer of labeled samples:22925   AUC:0.880
Numer of labeled samples:22966   AUC:0.881
Numer of labeled samples:22924   AUC:0.878
Numer of labeled samples:22948   AUC:0.879
Numer of labeled samples:22938   AUC:0.877
Numer of labeled samples:22999   AUC:0.877
Numer of labeled samples:22962   AUC:0.874
Numer of labeled samples:23077   AUC:0.873
Numer of labeled samples:22975   AUC:0.874
Numer of labeled samples:22928   AUC:0.873
Numer of labeled samples:22979   AUC:0.869
Numer of labeled samples:23047   AUC:0.870
Numer of labeled samples:22986   AUC:0.868
Numer of labeled samples:23050   AUC:0.870
Numer of labeled samples:23028   AUC:0.864
Numer of labeled samples:23052   AUC:0.868
Numer of labeled samples:23025   AUC:0.861
Numer of labeled samples:23013   AUC:0.862
Numer of labeled samples:23024   AUC:0.861
